3790	"Сведения по используемым спутниковым ПРМ на сети АО ""Казтелерадио""  "																
																	
	Наименование ОДРТ, ДРТ	Наименование района	Наименование РТС	 № ТВК, мгц 	Программа	Стандарт вещания	Тип приемника 	серийный , номер   .	U/A, электронный номер 	S/N, серийный номер.	Назначение 	Принадлежность ПРМ	Основная спутниковая антенна, тип антенны, размер м.	Наличие резервной спутниковой антенны, тип антенны, размер м.	Примечание 	Прием с KasSat 2	Примечание
596	Актюбинская  	Байганинский	Эбейты(Ебейты)	10	Казахстан	DigiCipher-II	DSR205K		000-03454-58729-068	2019476234000468	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
597	Актюбинская  	Мугалжарский	Эмба	7	Хабар	DigiCipher-II	DSR-4400		000-03137-39867-067	0254017192000038	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м			да	
598	Актюбинская  	Мугалжарский	Эмба	4	Евразия	DigiCipher-II	DSR205K		000-03454-56310-171	 2019476229015415	Основной 	"ПРМ АО ""Казтелерадио"""				да	
599	Актюбинская  	Мугалжарский	Эмба	2	Казахстан	DigiCipher-II	DSR-4400		000-03137-99373-235	02540781670000866	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	да	
600	Актюбинская  	Мугалжарский	Эмба	101.2	КазРВ	DigiCipher-II	DSR205K		000-03454-58095-221	2019476235006032	Основной 					да	
601	Актюбинская  	Мугалжарский	Эмба	25	24Kz	DigiCipher-II	DSR205K		000-03454-57244-028	2019476234019408	Основной 	"ПРМ АО ""Казтелерадио"""				да	
602	Актюбинская  	Мартукский	Яйсан	4	Хабар	DigiCipher-II	DSR205K		000-03454-59520-080	 2019476235001846	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
603	Актюбинская  	Мартукский	Яйсан	11	Казахстан	DigiCipher-II	DSR205K		000-03454-53972-232	2019476229018966	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
604	Актюбинская  	Мартукский	Яйсан	101.6	КазРВ	DigiCipher-II	DSR205K		000-03454-56656-032	2019476234005524	Основной 						
	Жамбылская  	Мойынкумский	Акбакай	11	Евразия	DigiCipher-II	DSR205K		000-03454-52836-234	201-94762-02002-968	Основной 	"ПРМ АО ""Казтелерадио"""	"параболлическая d 3,5 м
"	нет			
	Жамбылская  	Мойынкумский	Акбакай	21	Казахстан	DigiCipher-II	DSR205K		000-03454-56276-098	201-94762-22902-4431	Основной 	"ПРМ АО ""Казтелерадио"""	"параболлическая d 3,5 м
"	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Мойынкумский	Акбакай	9	Хабар	DigiCipher-II	DSR-4400		000-03138-00451-019	025-40782-08002-453	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Мойынкумский	Акбакай		1MUX	DVB-S2	ProView 7100   				Основной 						
	Жамбылская  	Таласский	Акколь	8	Евразия	DigiCipher-II	DSR205K		000-03454-52548-159	201-94762-02000-049	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет			
	Жамбылская  	Таласский	Акколь	10	Казахстан	DigiCipher-II	DSR205K		000-03454-58018 093	201-94762-35012-521	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Таласский	Акколь	12	Хабар	DigiCipher-II	DSR401		000-03427-01539-250	061-54413-33005-649	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Таласский	Акколь	28	1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Жамбылская  	Таласский	Акколь		1MUX	DVB S2	ProView 7100   				резерв						
	Жамбылская  	Мойкумский 	Аксуек	12	Казахстан	DigiCipher-II	DSR-4400		000-03137-99484-243	025-40781-77000-443	Основной 	"ПРМ АО ""Казтелерадио"""	"параболлическая d 3,5 м
"	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Мойкумский 	Аксуек	10	Хабар	DigiCipher-II	DSR-4400		000-03138-00416-408	025-40728-08002-897	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Мойкумский 	Аксуек	7	Евразия	DigiCipher-II	DSR-4400		000-03137-99081-188	025-40781-62001-585	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Мойкумский 	Аксуек		1MUX	DVB-S2	ProView 7100   				Основной 						
	Жамбылская  	Жуалынский	Актасты	23	Казахстан	DigiCipher-II	DSR205K		000-03454-52561-247	201-94762-02002-944	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Жуалынский	Актасты	21	Хабар	DigiCipher-II	DSR205K		000-03454-52556-134	201-94762-02002-975	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Жуалынский	Актасты		1MUX	DVB-S2	ProView 7100   				Основной 						
	Жамбылская  	Сарысуский	Актогай  	4	Евразия	DigiCipher-II	DSR-4400		000-03138-00461-102	025-40782-08002-958	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет			
	Жамбылская  	Сарысуский	Актогай  	9	Казахстан	DigiCipher-II	DSR205K		000-03454-59409-228	201-94762-35002-706	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Сарысуский	Актогай  	12	Хабар	DigiCipher-II	DSR 402		000-03086-23142-006	070-74740-54006-213	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Сарысуский	Актогай  		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Жамбылская  	Сарысуский	Актогай  		1MUX	DVB S2	ProView 7100   				резерв						
	Жамбылская  	Кордайский	Карасай батыр	4	Казахстан	DigiCipher-II	DSR205K		000-03454-59887-123	201-94762-35007-602	Основной 	"ПРМ АО ""Казтелерадио"""	"параболлическая d 3,5 м
"	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Кордайский	Карасай батыр	9	Хабар	DigiCipher-II	DSR 402		000-03086-20813-016	070-74740-51004-144	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Кордайский	Карасай батыр		1MUX	DVB-S2	ProView 7100   				Основной 						
	Жамбылская  	Кордайский	Карасай батыр		1MUX	DVB-S2	ProView 7100   				резерв						
	Жамбылская  	Кордайский	Бель	21	Казахстан	DigiCipher-II	DSR205K		000-03454-52630-200	201-94762-02001-558	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная D-1,0м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Кордайский	Бель	23	Хабар	DigiCipher-II	DSR205K		000-03454-52723-053	201-94762-02001-534	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Кордайский	Бель		1MUX	DVB-S2	ProView 7100   				Основной 						
	Жамбылская  	Сарысуский	Жайляуколь	10	Казахстан	DigiCipher-II	DSR205K		000-03454-57851-056	201-94762-34012-379	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Сарысуский	Жайляуколь	3	Хабар	DigiCipher-II	DSR-4400		000-03137-99203-057	025-40781-66000-140	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Сарысуский	Жайляуколь	8	Евразия	DigiCipher-II	DSR-4400		000-03137-99190-053	025-40781-66000-225	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Сарысуский	Жанатас	22	Евразия	DigiCipher-II	DSR205K		000-03454-53992-102	201-94762-29011-042	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	Жамбылская  	Сарысуский	Жанатас	3	Казахстан	DigiCipher-II	DSR205K		000-03454-53995-080	201-94762-29021-973	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	Жамбылская  	Сарысуский	Жанатас	101	КазРВ	DigiCipher-II	DSR205K		000-03454-59393-214	201-94762-35012-668	Основной 						
	Жамбылская  	Сарысуский	Жанатас	11	Хабар	DigiCipher-II	DSR205K		000-03454-56275-149	201-94762-29021-362	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Сарысуский	Жанатас	33	24Kz	DigiCipher-II	DSR205K		000-03454-59397-023	201-94762-34016-124	Основной 	"ПРМ АО ""Казтелерадио"""					
	Жамбылская  	Сарысуский	Жанатас		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Жамбылская  	Сарысуский	Жанатас		1MUX	DVB S2	ProView 7100   				резерв						
	Жамбылская  	Турара Рыскулова(Луговской (Кулан-это столица района)	Западная	12	Евразия	DigiCipher-II	DSR-4400		000-03137-99007-069	025-40782-09003-633	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	офсетная  d-1,2м.			
	Жамбылская  	Турара Рыскулова(Луговской (Кулан-это столица района)	Западная	29	24Kz	DigiCipher-II	DSR205K		000-03454-57361-084	201-94762-35011-043	Основной 	"ПРМ АО ""Казтелерадио"""					
